,name,brand,rating,price,processor_brand,num_processor,processor_speed,ram,memory_inbuilt,battery_capacity,charger,charging,display_size_inches,pixel,resolution_width,resolution_height,ppi,frequency_display_hz,primary_front_camera,secondry_front_camera,primary_rear_camera,secondry_rear_camera,os_brand,version,memory_card_upto,sim,is_5G,is_wifi
100,Samsung Galaxy Tab S8 Tablet (Wi-Fi Only),Samsung,4.65,49999,Snapdragon,8.0,3.0,8,128.0,8000.0,45.0,Fast,11.0,1600x2560,1600.0,2560.0,274.44,120.0,12.0,,13.0,6.0,,,1TB,,not_available,Wi-Fi
101,Samsung Galaxy Tab S8 FE,Samsung,4.75,39990,Kompanio,8.0,2.6,4,64.0,10000.0,55.0,Fast,12.4,1600x2560,1600.0,2560.0,243.46,,5.0,,13.0,,,,1TB,Single Sim,not_available,Wi-Fi
102,Lenovo Legion Pad Gaming Tablet,Lenovo,4.75,24999,Snapdragon,8.0,3.2,8,128.0,7100.0,30.0,Fast,7.0,1080x2400,1080.0,2400.0,375.97,120.0,8.0,,8.0,,,,512GB,Dual Sim,5G,Wi-Fi
103,Lenovo Tab K10 FHD 4G Tablet,Lenovo,4.15,10999,Helio,8.0,2.0,3,32.0,7500.0,,,10.3,1920x1200,1920.0,1200.0,219.82,,5.0,,8.0,,,,256GB,Single Sim,not_available,Wi-Fi
104,Apple iPad Mini 6th Gen 2021 Tablet (Wi-Fi+64GB),Apple,4.55,46900,Bionic,6.0,,,64.0,,,,8.3,2266x1488,2266.0,1488.0,326.61,,12.0,,12.0,,iOS,15.0,Not_available,,,Wi-Fi
105,OPPO Pad Tablet,OPPO,4.05,27999,Snapdragon,8.0,3.2,6,128.0,8360.0,33.0,Fast,11.0,1600x2560,1600.0,2560.0,274.44,120.0,8.0,,13.0,,,,512GB,Dual Sim,5G,Wi-Fi
106,Apple iPad Air 5th Gen 5G Tablet,Apple,4.4,61499,Apple,8.0,,,64.0,7730.0,20.0,Fast,10.9,1640x2360,1640.0,2360.0,263.66,,12.0,,12.0,,iOS,15.0,,Single Sim,5G,Wi-Fi
107,Xiaomi Mi Pad 5 Pro 5G Tablet,Xiaomi,4.4,39999,Snapdragon,8.0,3.2,8,256.0,8600.0,67.0,Fast,11.0,1600x2560,1600.0,2560.0,274.44,120.0,8.0,,50.0,5.0,Android,11.0,,Single Sim,5G,Wi-Fi
108,Samsung Galaxy Tab S8 Ultra 5G Tablet,Samsung,4.5,89999,Snapdragon,8.0,3.0,12,256.0,11200.0,45.0,Fast,14.6,1848x2960,1848.0,2960.0,239.01,120.0,12.0,12.0,13.0,6.0,,,1TB,Single Sim,5G,Wi-Fi
109,Samsung Galaxy Tab S7 FE,Samsung,4.35,40499,Snapdragon,8.0,2.2,4,64.0,10090.0,45.0,Fast,12.4,1600x2560,1600.0,2560.0,243.46,,5.0,,8.0,,,,1TB,Single Sim,not_available,Wi-Fi
110,Samsung Galaxy Tab S8 Plus 5G Tablet,Samsung,4.0,85999,Snapdragon,8.0,3.0,8,128.0,10090.0,45.0,Fast,12.4,1752x2800,1752.0,2800.0,266.37,120.0,12.0,,13.0,6.0,,,1TB,Single Sim,5G,Wi-Fi
111,Samsung Galaxy Tab S7 Plus (Wi-Fi Only),Samsung,4.7,49999,Snapdragon,8.0,3.09,6,128.0,10090.0,45.0,Fast,12.4,2800x1752,2800.0,1752.0,266.37,120.0,8.0,,13.0,5.0,,,1TB,,not_available,Wi-Fi
112,Lenovo M10 FHD REL,Lenovo,4.2,7999,Snapdragon,8.0,1.8,2,32.0,7000.0,,,10.04,1200x1920,1200.0,1920.0,225.51,,5.0,,8.0,,,,Supported,Single Sim,not_available,Wi-Fi
113,Samsung Galaxy Tab S7 Plus,Samsung,4.75,83999,Snapdragon,8.0,3.09,6,128.0,10090.0,45.0,Fast,12.4,2800x1752,2800.0,1752.0,266.37,120.0,8.0,,13.0,5.0,,,1TB,Single Sim,not_available,Wi-Fi
114,iQOO Pad 2,iQOO,4.0,34990,Snapdragon,8.0,3.2,8,256.0,10500.0,50.0,Fast,12.1,1968x2800,1968.0,2800.0,282.85,144.0,16.0,,13.0,8.0,Android,14.0,,,not_available,Wi-Fi
115,Google Pixel Tablet (8GB RAM +256GB),Google,4.4,96834,Tensor,8.0,2.85,8,256.0,,,,10.95,1600x2560,1600.0,2560.0,275.7,90.0,8.0,,8.0,,Android,13.0,Not_available,,not_available,Wi-Fi
116,Vivo Pad 3 Pro,Vivo,4.2,44990,Snapdragon,8.0,3.3,8,128.0,10500.0,44.0,Fast,12.4,1968x2800,1968.0,2800.0,276.0,144.0,8.0,,13.0,2.0,Android,13.0,,,not_available,Wi-Fi
117,Google Pixel Tablet 2,Google,4.45,79990,Tensor,8.0,3.0,8,128.0,,,,11.95,1600x2760,1600.0,2760.0,266.97,90.0,12.0,,12.0,,Android,13.0,Not_available,,not_available,Wi-Fi
118,Doogee T30S Tablet,Doogee,4.25,24799,Unisoc,8.0,1.6,6,256.0,8580.0,,,11.0,1200x1920,1200.0,1920.0,205.83,,8.0,,13.0,,,,1TB,Dual Sim,not_available,Wi-Fi
119,Ulefone Armor Pad,Ulefone,4.55,16599,Helio,8.0,2.0,4,64.0,7650.0,,,8.0,1280x800,1280.0,800.0,188.68,,5.0,,13.0,,,,256GB,Dual Sim,not_available,Wi-Fi
120,Lenovo Tab K11,Lenovo,4.55,19990,Helio,8.0,2.0,4,128.0,7040.0,15.0,Fast,10.95,1200x1920,1200.0,1920.0,206.77,90.0,8.0,,8.0,,,,1TB,Single Sim,not_available,Wi-Fi
121,iKall N11 New Tablet (Wi-Fi Only),iKall,4.5,3499,,,,2,16.0,3000.0,,,7.0,1024x600,1024.0,600.0,169.55,,0.3,,2.0,,Android,6.0,,Dual Sim,not_available,Wi-Fi
122,Oppo Pad Neo Tablet,Oppo,4.35,21990,Helio,8.0,2.2,6,128.0,8000.0,33.0,Fast,11.36,2408x1720,2408.0,1720.0,260.49,90.0,8.0,,8.0,,,,,Dual Sim,not_available,Wi-Fi
123,Samsung Galaxy Tab A9 Kids Edition Tablet,Samsung,4.55,16990,Helio,8.0,2.2,4,64.0,5100.0,15.0,Fast,8.7,800x1340,800.0,1340.0,179.38,,2.0,,8.0,,,,1TB,Single Sim,not_available,Wi-Fi
124,Samsung Galaxy Tab Active 5 Pro,Samsung,4.35,54999,,,,,,4900.0,,,,,,,,,,,,,,,,,not_available,Wi-Fi
125,Samsung Galaxy Tab Active 5,Samsung,4.7,39999,Octa,8.0,,6,128.0,5050.0,,,8.0,1920x1200,1920.0,1200.0,283.02,,5.0,,13.0,,,,64GB,Dual Sim,5G,Wi-Fi
126,Huawei MatePad Pro 11 2024 Tablet,Huawei,4.65,49990,Kirin,8.0,2.62,12,256.0,8300.0,66.0,Fast,11.0,2560x1600,2560.0,1600.0,274.44,120.0,16.0,,13.0,8.0,,,1TB,,not_available,Wi-Fi
127,DOMO Slate SL36 SE Tablet,DOMO,4.55,7490,Helio,8.0,2.5,2,32.0,5020.0,,,10.1,1280x800,1280.0,800.0,149.45,,5.0,,8.0,,,,128GB,Dual Sim,not_available,Wi-Fi
128,Blackview Tab 18,Blackview,4.25,19990,Helio,8.0,2.2,12,256.0,8800.0,33.0,Fast,12.0,1200x2000,1200.0,2000.0,194.37,,8.0,,16.0,,,,(Hybrid),Dual Sim,not_available,Wi-Fi
129,Doogee T20 Ultra Tablet,Doogee,4.7,23990,Helio,8.0,2.2,12,256.0,10800.0,,,12.0,1200x2000,1200.0,2000.0,194.37,90.0,8.0,,16.0,,,,2TB,Dual Sim,not_available,Wi-Fi
130,Doogee T30 Ultra Tablet,Doogee,4.6,25990,Helio,8.0,2.2,12,256.0,8580.0,18.0,Fast,11.0,1600x2560,1600.0,2560.0,274.44,90.0,8.0,,16.0,,,,2TB,Dual Sim,not_available,Wi-Fi
131,Doogee T20 Mini Tablet,Doogee,4.1,12990,Unisoc,8.0,2.0,4,128.0,5060.0,,,8.4,1080x2400,1080.0,2400.0,313.31,,5.0,,13.0,,,,1TB,Dual Sim,not_available,Wi-Fi
132,Apple iPad Air 12.9 Tablet,Apple,4.0,79999,Apple,8.0,,,64.0,,,,12.9,2048x2732,2048.0,2732.0,264.68,,12.0,,12.0,,iOS,17.0,Not_available,Single Sim,5G,Wi-Fi
133,Teclast T45HD Tablet,Teclast,4.35,19999,Unisoc,8.0,2.0,8,128.0,7200.0,,,10.51,1200x1920,1200.0,1920.0,215.43,,8.0,,13.0,13.0,,,1TB,Dual Sim,not_available,Wi-Fi
134,Apple iPad 11th Gen Tablet,Apple,4.25,59999,Bionic,6.0,3.22,,64.0,,,,10.9,1640x2360,1640.0,2360.0,263.66,,12.0,,12.0,,iPadOS,17.0,Not_available,Single Sim,5G,Wi-Fi
135,Ulefone Armor Pad 2,Ulefone,4.45,20999,Helio,8.0,2.2,8,256.0,18600.0,,,11.0,1200x2000,1200.0,2000.0,212.03,,16.0,,48.0,,,,Supported,Dual Sim,not_available,Wi-Fi
136,Wishtel IRA T808 Tablet,Wishtel,4.2,10416,Octa,8.0,2.0,3,32.0,5500.0,,,8.0,1280x800,1280.0,800.0,188.68,,5.0,,8.0,,,,128GB,Dual Sim,not_available,Wi-Fi
137,Samsung Galaxy Tab A9 Tablet (Wi-Fi Only),Samsung,4.55,11999,Helio,8.0,2.2,4,64.0,5100.0,15.0,Fast,8.7,800x1340,800.0,1340.0,179.38,,2.0,,8.0,,Android,13.0,1TB,,,Wi-Fi
138,Samsung Galaxy Tab S9 FE (5G + 8GB RAM + 256GB),Samsung,4.1,55999,Exynos,8.0,2.4,8,256.0,8000.0,45.0,Fast,10.9,1440x2304,1440.0,2304.0,249.26,90.0,12.0,,8.0,,,,1TB,Single Sim,5G,Wi-Fi
139,Samsung Galaxy Tab S9 FE (Wi-Fi Only + 8GB RAM + 256GB),Samsung,4.2,47999,Exynos,8.0,2.4,8,256.0,8000.0,45.0,Fast,10.9,1440x2304,1440.0,2304.0,249.26,90.0,12.0,,8.0,,Android,13.0,1TB,,,Wi-Fi
140,iKall N20 4G Tablet,iKall,4.25,7999,Octa,8.0,2.0,3,32.0,5000.0,,,10.1,1280x800,1280.0,800.0,149.45,,5.0,,8.0,,,,256GB,Single Sim,not_available,Wi-Fi
141,DOMO Slate SLP8 T310 Tablet,DOMO,4.65,10490,Octa,8.0,1.6,4,64.0,5020.0,,,10.1,800x1280,800.0,1280.0,149.45,,5.0,,13.0,,,,512GB,Dual Sim,not_available,Wi-Fi
142,Lenovo Tab M11,Lenovo,4.65,19990,Helio,8.0,2.0,4,64.0,7040.0,15.0,Fast,11.0,1200x1920,1200.0,1920.0,205.83,90.0,8.0,,13.0,8.0,Android,13.0,128GB,,,Wi-Fi
143,Wishtel IRA T811 Tablet PC,Wishtel,4.35,12340,Octa,8.0,2.0,4,64.0,5500.0,,,8.4,1920x1200,1920.0,1200.0,269.54,,5.0,,8.0,,,,1TB,Dual Sim,not_available,Wi-Fi
144,iKall N6 New Tablet,iKall,4.3,3999,Quad,4.0,1.3,2,32.0,3000.0,,,7.0,1024x600,1024.0,600.0,169.55,,2.0,,5.0,,Android,10.0,32GB,,,Wi-Fi
145,Amazon Fire HD 10 2023 Tablet,Amazon,4.0,12999,,,,3,32.0,,,,10.01,1200x1920,1200.0,1920.0,226.19,,,,,,,,Supported,,not_available,Wi-Fi
146,Huawei MatePad Pro 13.2,Huawei,4.45,35000,Kirin,8.0,2.62,12,256.0,10100.0,88.0,Fast,13.2,2880x1920,2880.0,1920.0,262.22,144.0,16.0,,13.0,8.0,Harmony,4.0,Not_available,,,Wi-Fi
147,Motorola Moto Tab G84,Motorola,4.45,19999,Octa,8.0,,6,128.0,7800.0,33.0,Fast,10.6,1200x2000,1200.0,2000.0,220.04,,8.0,,8.0,,,,1TB,Single Sim,not_available,Wi-Fi
148,Huawei MatePad 11.5 PaperMatte Edition Tablet,Huawei,4.4,40999,Snapdragon,8.0,2.4,8,256.0,7700.0,,Fast,11.5,1440x2200,1440.0,2200.0,228.64,120.0,8.0,,13.0,,Harmony,3.1,,,not_available,Wi-Fi
149,Cubot Tab 40,Cubot,4.05,10499,Tiger,8.0,2.0,8,128.0,7000.0,,,10.4,1200x2000,1200.0,2000.0,224.27,,5.0,,13.0,,,,(Hybrid),Dual Sim,not_available,Wi-Fi
150,Doogee T10 Pro Tablet,Doogee,4.7,29999,Unisoc,8.0,2.0,15,256.0,8580.0,18.0,Fast,10.1,,,,,,8.0,,13.0,,Android,12.0,Not_available,,,Wi-Fi
151,Doogee T10 Plus Tablet,Doogee,4.0,24999,Unisoc,8.0,2.0,20,256.0,8250.0,18.0,Fast,10.51,,,,,,8.0,,13.0,,Android,13.0,1TB,,,Wi-Fi
152,Doogee U10 Tablet,Doogee,4.6,23999,Rockchip,4.0,2.0,9,,5060.0,,,10.1,,,,,,5.0,,8.0,,,,Not_available,,,Wi-Fi
153,TCL Tab 10 Gen2,TCL,4.6,14990,Helio,8.0,2.0,4,128.0,6000.0,10.0,Fast,10.36,1200x2000,1200.0,2000.0,225.13,,5.0,,8.0,,,,Supported,Single Sim,not_available,Wi-Fi
154,Lenovo Tab M8 4th Gen 2024 (3 GB RAM + 32 GB + WiFi Only),Lenovo,4.6,14999,Helio,8.0,,3,32.0,5100.0,,,8.0,1280x800,1280.0,800.0,188.68,,2.0,,5.0,,Android,13.0,Supported,,,Wi-Fi
155,Lenovo Tab M8 4th Gen 2024 (4 GB RAM + 64 GB + WiFi Only),Lenovo,4.5,17999,Helio,8.0,,4,64.0,5100.0,,,8.0,1280x800,1280.0,800.0,188.68,,2.0,,8.0,,,,Supported,No Sim Supported,not_available,Wi-Fi
156,Teclast M50 Pro Tablet,Teclast,4.7,15900,Tiger,8.0,2.0,8,128.0,6000.0,,Fast,10.1,1920x1200,1920.0,1200.0,224.17,,5.0,,13.0,0.3,,,(Hybrid),Dual Sim,not_available,Wi-Fi
157,iKall N13 4G New Tablet,iKall,4.75,6999,Quad,4.0,2.0,3,32.0,4000.0,,,8.0,600x1024,600.0,1024.0,148.35,,5.0,,8.0,,Android,11.0,Supported,,,Wi-Fi
158,Oukitel RT7 Titan Tablet,Oukitel,4.55,79999,Dimensity,8.0,2.0,12,256.0,32000.0,33.0,Fast,10.1,1920x1200,1920.0,1200.0,224.17,,32.0,,48.0,20.0,Android,13.0,Supported,,5G,Wi-Fi
159,Samsung Galaxy Tab S9 Ultra 2023 Tablet (Wi-Fi+12GB+256GB),Samsung,4.0,107014,Snapdragon,8.0,3.2,12,256.0,11200.0,45.0,Fast,14.6,1848x2960,1848.0,2960.0,239.01,120.0,12.0,12.0,13.0,8.0,Android,13.0,1TB,,,Wi-Fi
160,Samsung Galaxy Tab S9 Tablet (Wi-Fi+8GB+128GB),Samsung,4.35,72999,Snapdragon,8.0,3.2,8,128.0,8400.0,45.0,Fast,11.0,1600x2560,1600.0,2560.0,274.44,120.0,12.0,,13.0,,Android,13.0,1TB,,,Wi-Fi
161,Samsung Galaxy Tab S9 Tablet (Wi-Fi+12GB+256GB),Samsung,4.25,74999,Snapdragon,8.0,3.2,12,256.0,8400.0,45.0,Fast,11.0,1600x2560,1600.0,2560.0,274.44,120.0,12.0,,13.0,,Android,13.0,1TB,,,Wi-Fi
162,Samsung Galaxy Tab S9 Ultra Tablet (Wi-Fi+12GB+512GB),Samsung,4.7,119999,Snapdragon,8.0,3.2,12,512.0,11200.0,45.0,Fast,14.6,1848x2960,1848.0,2960.0,239.01,120.0,12.0,12.0,13.0,8.0,Android,13.0,1TB,,,Wi-Fi
163,Oukitel RT6 Tablet,Oukitel,4.65,19999,Helio,8.0,2.0,8,256.0,20000.0,33.0,Fast,10.1,1200x1920,1200.0,1920.0,224.17,,16.0,,16.0,,,,1TB,Dual Sim,not_available,Wi-Fi
164,Lenovo Legion Y700 2023 Gaming Tablet,Lenovo,4.4,29990,Snapdragon,8.0,3.2,12,256.0,6550.0,45.0,Fast,8.8,1600x2560,1600.0,2560.0,343.05,144.0,8.0,,13.0,2.0,,,Supported,Single Sim,not_available,Wi-Fi
165,Acer Iconia Tab M10,Acer,4.05,11999,Kompanio,8.0,2.0,4,64.0,6000.0,,,10.1,1920x1200,1920.0,1200.0,224.17,,5.0,,13.0,,Android,,1TB,,,Wi-Fi
166,HTC A104 Tablet,HTC,4.65,15999,Unisoc,8.0,2.0,8,128.0,7000.0,,,10.36,2000x1200,2000.0,1200.0,225.13,,5.0,,5.0,,,,512GB,Dual Sim,not_available,Wi-Fi
167,Wishtel IRA T1021 4G,Wishtel,4.75,13380,Octa,8.0,2.0,4,64.0,8000.0,,,10.0,1920x1200,1920.0,1200.0,226.42,,5.0,,8.0,,,,256GB,Dual Sim,not_available,Wi-Fi
168,Huawei MatePad 11.5,Huawei,4.45,26999,Snapdragon,8.0,2.4,6,128.0,7700.0,22.5,Fast,11.5,1440x2200,1440.0,2200.0,228.64,120.0,8.0,,13.0,,Harmony,3.1,,,not_available,Wi-Fi
169,Acer One 10 T9-1212L Tablet (6GB RAM + 128GB),Acer,4.1,17899,Helio,8.0,2.0,6,128.0,7100.0,,,10.1,1920x1200,1920.0,1200.0,224.17,,5.0,,13.0,,,,1TB,Single Sim,not_available,Wi-Fi
170,Doogee T10S Tablet,Doogee,4.05,16500,Unisoc,8.0,2.0,6,128.0,6600.0,,,10.1,1200x1920,1200.0,1920.0,224.17,,5.0,,8.0,,,,1TB,Dual Sim,not_available,Wi-Fi
171,Doogee T20S Tablet,Doogee,4.35,24999,Tiger,8.0,2.0,8,128.0,7500.0,,,10.4,1200x1920,1200.0,1920.0,217.71,,5.0,,13.0,,,,1TB,Dual Sim,not_available,Wi-Fi
172,Lenovo Tab M9 (3GB RAM+32GB+ WI-Fi Only),Lenovo,4.45,8999,Helio,8.0,2.0,3,32.0,5100.0,10.0,Fast,9.0,800x1340,800.0,1340.0,173.4,,2.0,,8.0,,Android,12.0,Supported,,,Wi-Fi
173,Blackview Active 8 Pro,Blackview,4.6,19990,Helio,8.0,2.2,8,256.0,22000.0,33.0,Fast,10.36,1200x2000,1200.0,2000.0,225.13,,16.0,,48.0,,,,(Hybrid),Dual Sim,not_available,Wi-Fi
174,Honor Pad X8 Pro,Honor,4.35,10999,Snapdragon,8.0,2.8,4,128.0,7250.0,,Fast,11.5,2000x1200,2000.0,1200.0,202.82,120.0,5.0,,5.0,,Android,13.0,,,not_available,Wi-Fi
175,Honor MagicPad 13 Tablet,Honor,4.05,36999,Snapdragon,8.0,2.84,8,256.0,10050.0,66.0,Fast,13.0,1840x2880,1840.0,2880.0,262.89,144.0,9.0,,13.0,,Android,13.0,Not_available,,,Wi-Fi
176,Boox Tab Mini C eReader,Boox,4.1,87282,Snapdragon,8.0,,4,64.0,5000.0,,,7.8,1404x1872,1404.0,1872.0,300.0,,,,,,Android,11.0,Not_available,,,Wi-Fi
177,iKall N3 Plus Tablet,iKall,4.1,6899,Octa,8.0,2.0,3,32.0,4500.0,,,8.0,480x640,480.0,640.0,100.0,,2.0,,5.0,,,,128GB,Single Sim,not_available,Wi-Fi
178,Realme Pad Mini Tablet (6GB RAM + 128GB),Realme,4.35,13999,Tiger,8.0,2.0,6,128.0,6400.0,18.0,Fast,8.68,800x1340,800.0,1340.0,179.8,,5.0,,8.0,,,,1TB,Dual Sim,not_available,Wi-Fi
179,Teclast T50 Pro Tablet,Teclast,4.25,15000,Helio,8.0,2.2,8,256.0,8000.0,18.0,Fast,11.0,2000x1200,2000.0,1200.0,212.03,,8.0,,20.0,20.0,,,1TB,Dual Sim,not_available,Wi-Fi
180,Domo Slate TAB SSM28 Tablet,Domo,4.65,7999,Helio,4.0,1.5,4,64.0,4020.0,,,8.0,1280x800,1280.0,800.0,188.68,,2.0,,5.0,,,,512GB,Dual Sim,not_available,Wi-Fi
181,Teclast P26T Tablet,Teclast,4.3,5990,Allwinner,8.0,,4,64.0,5000.0,,Fast,10.1,1280x800,1280.0,800.0,149.45,,2.0,,5.0,,Android,13.0,1TB,,,Wi-Fi
182,Lenovo Tab M9 (4GB RAM + 64GB + LTE),Lenovo,4.25,10349,Helio,8.0,2.0,4,64.0,5100.0,10.0,Fast,9.0,800x1340,800.0,1340.0,173.4,,2.0,,8.0,,,,512GB,Single Sim,not_available,Wi-Fi
183,Acer one 10 T9-1212L Tablet,Acer,4.0,17990,Helio,8.0,2.0,4,64.0,7100.0,,,10.1,1920x1200,1920.0,1200.0,224.17,,5.0,,13.0,,,,1TB,Single Sim,not_available,Wi-Fi
184,Doogee T30 Pro Tablet,Doogee,4.05,28990,Helio,8.0,2.2,8,256.0,8580.0,18.0,Fast,11.0,1600x2560,1600.0,2560.0,274.44,90.0,8.0,,20.0,,,,2TB,Dual Sim,not_available,Wi-Fi
185,DOMO Slate S10 DC Tablet,DOMO,4.5,5499,Helio,4.0,1.3,2,32.0,3000.0,,,7.0,600x1024,600.0,1024.0,169.55,,2.0,,5.0,,,,128GB,Dual Sim,not_available,Wi-Fi
186,Xiaomi Redmi Pad 2,Xiaomi,4.35,15990,Snapdragon,8.0,2.4,3,64.0,8000.0,18.0,Fast,11.0,1200x2000,1200.0,2000.0,212.03,90.0,8.0,,8.0,,,,1TB,,not_available,Wi-Fi
187,Huawei MatePad Air Tablet,Huawei,4.5,32999,Snapdragon,8.0,2.84,6,128.0,8300.0,,Fast,11.5,2800x1840,2800.0,1840.0,291.34,144.0,8.0,,13.0,,,,1TB,Single Sim,not_available,Wi-Fi
188,Vaio TL10 Tablet,Vaio,4.4,28990,Tiger,8.0,2.0,8,128.0,7000.0,15.0,Fast,10.4,1200x2000,1200.0,2000.0,224.27,,5.0,,8.0,,,,1TB,Single Sim,not_available,Wi-Fi
189,Honor Pad V8 Tablet,Honor,4.6,21999,Dimensity,8.0,,8,256.0,7250.0,,Fast,11.0,1600x2560,1600.0,2560.0,274.44,120.0,5.0,,13.0,2.0,,,Supported,Single Sim,5G,Wi-Fi
190,ZTE Axon Pad Tablet,ZTE,4.15,39990,Snapdragon,8.0,3.2,8,256.0,10000.0,80.0,Fast,12.1,1600x2560,1600.0,2560.0,249.49,120.0,8.0,,13.0,,Android,13.0,,Dual Sim,5G,Wi-Fi
191,Lava Magnum XL Tablet (3GB RAM + 32GB),Lava,4.1,12494,Helio,4.0,,3,32.0,5900.0,,,10.1,1280x800,1280.0,800.0,149.45,,2.0,,5.0,,,,128GB,Dual Sim,not_available,Wi-Fi
192,Huawei MatePad 11 2023 Tablet,Huawei,4.55,25990,Snapdragon,8.0,3.2,6,128.0,7250.0,22.5,Fast,11.0,2560x1600,2560.0,1600.0,274.44,120.0,8.0,,13.0,,,,1TB,,not_available,Wi-Fi
193,Lenovo Legion Y900 Tablet,Lenovo,4.6,59990,Dimensity,8.0,3.05,8,128.0,12300.0,68.0,Fast,14.5,1080x2400,1080.0,2400.0,181.5,120.0,8.0,,8.0,,,,512GB,Dual Sim,5G,Wi-Fi
194,Blackview Tab 16,Blackview,4.0,17990,(12,8.0,2.0,8,128.0,7680.0,,,11.0,1200x2000,1200.0,2000.0,212.03,,8.0,,13.0,,,,1TB,Dual Sim,not_available,Wi-Fi
195,Cube X Pad Tablet,Cube,4.05,24990,Dimensity,8.0,2.4,8,256.0,8040.0,25.0,Fast,10.58,1200x2000,1200.0,2000.0,220.45,120.0,5.0,,13.0,,,,1TB,Single Sim,5G,Wi-Fi
196,itel Pad One Tablet,itel,4.1,11765,Unisoc,4.0,,4,128.0,6000.0,10.0,Fast,10.1,1280x800,1280.0,800.0,149.45,,8.0,,5.0,,,,512GB,Single Sim,not_available,Wi-Fi
197,TCL NxtPaper 11,TCL,4.3,19990,Helio,8.0,2.0,,,8000.0,18.0,Fast,10.95,1200x2000,1200.0,2000.0,213.0,,8.0,,8.0,,Android,13.0,Supported,Single Sim,not_available,Wi-Fi
198,Teclast P25T Tablet,Teclast,4.4,5999,Quad,4.0,,4,64.0,5000.0,,Fast,10.1,1280x800,1280.0,800.0,149.45,,2.0,,5.0,,Android,12.0,1TB,,,Wi-Fi
199,HTC A102 Tablet,HTC,4.3,14990,Helio,8.0,,6,128.0,8400.0,,,11.0,1200x1920,1200.0,1920.0,205.83,,5.0,,13.0,2.0,,,256GB,Dual Sim,not_available,Wi-Fi
200,Teclast M40 Pro 2023 Tablet,Teclast,4.65,12499,Tiger,8.0,2.0,6,128.0,7000.0,,Fast,10.1,1920x1200,1920.0,1200.0,224.17,,5.0,,8.0,,,,Supported,Dual Sim,not_available,Wi-Fi
201,Chuwi HiPad XPro Tablet,Chuwi,4.2,11990,Tiger,8.0,2.0,6,128.0,7040.0,15.0,Fast,10.51,1200x1920,1200.0,1920.0,215.43,,8.0,,13.0,,,,1TB,Single Sim,not_available,Wi-Fi
202,Nokia T21 Tablet (Wi-Fi Only),Nokia,4.6,17999,Tiger,8.0,2.0,4,64.0,8200.0,18.0,Fast,10.36,1200x2000,1200.0,2000.0,225.13,,8.0,,8.0,,,,512GB,,not_available,Wi-Fi
203,Realme Pad Tablet (6GB RAM + 128GB),Realme,4.0,22990,Helio,8.0,2.0,6,128.0,7100.0,18.0,Fast,10.4,1200x2000,1200.0,2000.0,224.27,,8.0,,8.0,,,,1TB,Dual Sim,not_available,Wi-Fi
204,TCL NxtPaper 12 Pro,TCL,4.35,42999,Helio,8.0,2.4,8,256.0,8000.0,18.0,Fast,12.2,1440x2160,1440.0,2160.0,212.79,,8.0,8.0,13.0,,,,512GB,Single Sim,5G,Wi-Fi
205,Realme Pad Slim Tablet,Realme,4.05,25999,Helio,8.0,2.0,6,128.0,7100.0,18.0,Fast,10.4,1200x2000,1200.0,2000.0,224.27,,8.0,,8.0,,,,1TB,Dual Sim,not_available,Wi-Fi
206,Oukitel RT3 Tablet,Oukitel,4.75,12990,Helio,8.0,2.0,4,64.0,5150.0,33.0,Fast,8.0,1280x800,1280.0,800.0,188.68,,8.0,,16.0,,,,1TB,Dual Sim,not_available,Wi-Fi
207,Nokia T10 Tablet (LTE+4GB+64GB),Nokia,4.75,15498,Tiger,8.0,2.0,4,64.0,5250.0,,,8.0,800x1200,800.0,1200.0,180.28,,2.0,,8.0,,,,Supported,Single Sim,not_available,Wi-Fi
208,Doogee T20 Tablet,Doogee,4.5,17990,Tiger,8.0,2.0,8,128.0,8500.0,18.0,Fast,10.4,1200x1920,1200.0,1920.0,217.71,,8.0,,13.0,,,,1TB,Dual Sim,not_available,Wi-Fi
209,Honor V8 Pro Tablet,Honor,4.6,29999,Dimensity,8.0,2.85,8,256.0,10050.0,,Fast,12.1,1600x2560,1600.0,2560.0,249.49,144.0,5.0,,13.0,,,,Supported,Single Sim,5G,Wi-Fi
210,Oppo Pad 2 Tablet,Oppo,4.15,35990,Dimensity,8.0,3.05,8,256.0,9510.0,67.0,Fast,11.61,2000x2800,2000.0,2800.0,296.38,144.0,8.0,,13.0,,Android,13.0,Not_available,,,Wi-Fi
211,HUAWEI MatePad C7,HUAWEI,4.2,34990,Snapdragon,8.0,2.84,6,128.0,7250.0,22.5,Fast,10.95,1600x2560,1600.0,2560.0,275.7,,8.0,,13.0,,,,1TB,Single Sim,not_available,Wi-Fi
212,Samsung Galaxy Tab A7 Lite Kids Edition,Samsung,4.55,8999,Helio,8.0,2.4,3,32.0,5100.0,15.0,Fast,8.7,800x1340,800.0,1340.0,179.38,,2.0,,8.0,,,,1TB,Single Sim,not_available,Wi-Fi
213,Doogee T10,Doogee,4.75,14499,Unisoc,8.0,2.0,8,128.0,8300.0,18.0,Fast,10.1,1200x1920,1200.0,1920.0,224.17,,8.0,,13.0,,,,1TB,Dual Sim,not_available,Wi-Fi
