laptop_id,model_name,brand,price_inr,rating,cpu_brand,cpu_tier,cpu_generation,cpu_cores,cpu_threads,ram_gb,ram_type,ssd_gb,hdd_gb,display_size_in,resolution_label,resolution_px,touchscreen,gpu_model,gpu_vram_gb,gpu_dedicated,os,warranty_years
734,MSI Katana GF66 12UCOK 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),MSI,69990,62.0,Intel,Core i5,12.0,8.0,12.0,16.0,DDR5,512,0,15.6,1920x1080,2073600.0,False,RTX 3050,4,True,Windows 11,2
735,Lenovo ThinkPad E14 21JRS00Y00 Laptop (AMD Ryzen 3 7330U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,42990,56.0,AMD,Ryzen 3,7.0,4.0,8.0,8.0,DDR4,512,0,14.0,1920x1200,2304000.0,False,Radeon Graphics,0,False,Windows 11,1
736,Lenovo IdeaPad Gaming 3 82K101LHIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Lenovo,52000,65.0,Intel,Core i5,11.0,4.0,8.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,GTX 1650,4,True,Windows 11,1
737,MSI Thin GF63 11SC-1477IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),MSI,41990,62.0,Intel,Core i5,11.0,6.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,GTX 1650,4,True,Windows 11,2
738,Lenovo ThinkBook 15 21JF002CIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ DOS),Lenovo,31800,56.0,AMD,Ryzen 3,7.0,4.0,8.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,DOS,1
739,Lenovo ThinkPad T14 Gen 2 20W0S16Q00 Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Pro/ 2GB Graph),Lenovo,96999,64.0,Intel,Core i7,11.0,4.0,8.0,16.0,DDR4,512,0,14.0,1920x1080,2073600.0,False,Integrated,2,True,Windows 11,1
740,Lenovo IdeaPad Gaming 3 15ACH6 82K2022YIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Lenovo,63990,62.0,AMD,Ryzen 5,5.0,6.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 3050,4,True,Windows 11,1
741,Lenovo ThinkPad E14 21JRS00T00 Laptop (AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,69345,60.0,AMD,Ryzen 5,7.0,6.0,12.0,8.0,DDR4,512,0,14.0,1920x1200,2304000.0,False,Radeon Graphics,0,False,Windows 11,1
742,Asus Vivobook 15 2023 X1504VA-NJ543WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Asus,58990,60.0,Intel,Core i5,13.0,10.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Iris Xe Graphics,0,False,Windows 11,1
743,Lenovo IdeaPad 1 14IGL7 82V6005EIN Laptop (Celeron Dual Core/ 8GB/ 256GB SSD/ Win11 Home),Lenovo,26490,,Intel,Celeron,4.0,2.0,2.0,8.0,DDR4,256,0,14.0,1366x768,1049088.0,False,Integrated,0,False,Windows 11,1
744,Asus Vivobook 15 OLED 2023 X1505VAU-LK543WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Asus,64990,57.0,Intel,Core i5,13.0,10.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Iris Xe Graphics,0,False,Windows 11,1
745,HP Envy x360 15-fh0015AU Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),HP,78490,62.0,AMD,Ryzen 5,7.0,6.0,12.0,16.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,True,Integrated,0,False,Windows 11,1
746,Lenovo IdeaPad Slim 3 2023 82X70033IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Lenovo,43990,53.0,Intel,Core i3,13.0,5.0,6.0,8.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
747,HP Envy x360 15-fe0027TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,88490,62.0,Intel,Core i5,13.0,10.0,12.0,16.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,True,Integrated,0,False,Windows 11,1
748,HP Envy x360 15-fe0028TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,95990,62.0,Intel,Core i5,13.0,10.0,12.0,16.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,True,Integrated,0,False,Windows 11,1
