laptop_id,model_name,brand,price_inr,rating,cpu_brand,cpu_tier,cpu_generation,cpu_cores,cpu_threads,ram_gb,ram_type,ssd_gb,hdd_gb,display_size_in,resolution_label,resolution_px,touchscreen,gpu_model,gpu_vram_gb,gpu_dedicated,os,warranty_years
1,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,50399,70.0,AMD,Ryzen 5,5.0,6.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,True,Radeon RX 6500M,4,True,Windows 11,1
2,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Tecno,23990,56.0,Intel,Core i3,11.0,2.0,4.0,8.0,LPDDR4,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
3,Lenovo V15 G4 ‎82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,26989,55.0,AMD,Ryzen 3,7.0,4.0,8.0,8.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,False,Radeon Graphics,0,False,Windows 11,1
4,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Samsung,69990,60.0,Intel,Core i5,12.0,12.0,16.0,16.0,LPDDR5,512,0,13.3,1080x1920,2073600.0,False,Iris Xe Graphics,0,False,Windows 11,1
5,Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),Xiaomi,102990,78.0,Intel,Core i9,14.0,24.0,32.0,16.0,DDR5,1024,0,16.1,2560x1600,4096000.0,False,RTX 4060,8,True,Windows 11,1
6,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,35990,55.0,Intel,Core i3,12.0,6.0,8.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
7,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),Apple,79990,,Apple,M1,,8.0,,8.0,DDR4,256,0,13.3,2560x1600,4096000.0,False,M1,0,False,Mac OS,1
8,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Samsung,42990,54.0,Intel,Core i5,12.0,10.0,12.0,8.0,LPDDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
9,HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,54990,56.0,Intel,Core i5,12.0,10.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
10,HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,56490,69.0,AMD,Ryzen 5,7.0,6.0,12.0,16.0,DDR5,512,0,15.6,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,1
11,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Other,24990,51.0,Intel,Core i5,11.0,4.0,8.0,8.0,DDR4,512,0,15.6,1080x1920,2073600.0,False,Integrated,0,False,Windows 11,1
12,Zebronics Pro Series Z ZEB-NBC 4S Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Other,32990,64.0,Intel,Core i5,12.0,10.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
13,Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Asus,52990,59.0,Intel,Core i5,12.0,12.0,16.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
14,HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),HP,81990,73.0,AMD,Ryzen 7,7.0,8.0,16.0,16.0,DDR5,1024,0,16.1,1920x1080,2073600.0,False,RTX 3050,6,True,Windows 11,1
15,Apple MacBook Air 2024 Laptop (Apple M3/ 8GB/ 256GB SSD/ MacOS),Apple,114900,,Apple,M3,,8.0,,8.0,DDR4,256,0,13.6,2560x1664,4259840.0,False,M3,0,False,Mac OS,1
16,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Dell,33790,56.0,Intel,Core i3,12.0,6.0,8.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
17,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,26749,57.0,AMD,Ryzen 3,5.0,4.0,8.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Radeon Graphics,0,False,Windows 11,1
18,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),Apple,99900,,Apple,M2,,8.0,,8.0,DDR4,256,0,13.6,2560x1664,4259840.0,False,M2,0,False,Mac OS,1
19,Samsung Galaxy Book 4 NP750XGK-KS2IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),Samsung,75990,55.0,Intel,,,10.0,12.0,16.0,LPDDR4x,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
20,HP 14s-dq5138tu Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,38990,55.0,Intel,Core i3,12.0,6.0,8.0,8.0,DDR4,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
21,Asus TUF F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,49990,64.0,Intel,Core i5,11.0,6.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,1
22,Lenovo IdeaPad Gaming 3 82K2025XIN Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Lenovo,54990,66.0,AMD,Ryzen 5,5.0,6.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,GTX 1650,4,True,Windows 11,1
23,Lenovo Thinkpad E14 20YES00K00 Laptop (AMD Ryzen 7 5800U/ 16GB/ 512GB SSD/ Win10),Lenovo,79999,62.0,AMD,Ryzen 7,5.0,8.0,16.0,16.0,DDR4,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,Windows 10,1
24,HP Envy x360 15-fe0014TX Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graphics),HP,132490,69.0,Intel,Core i7,13.0,10.0,12.0,16.0,LPDDR5,1024,0,15.6,1920x1080,2073600.0,True,RTX 3050,4,True,Windows 11,1
25,Lenovo ThinkPad E14 21JKS13K00 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,96990,65.0,Intel,Core i7,13.0,10.0,12.0,16.0,DDR4,512,0,14.0,1920x1200,2304000.0,False,Iris Xe Graphics,0,False,Windows 11,1
26,Lenovo V14 82TSA0CWIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),Lenovo,55490,53.0,Intel,Core i5,12.0,10.0,12.0,8.0,DDR4,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
27,Lenovo V14 82TS005DIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),Lenovo,43490,,Intel,Core i5,12.0,10.0,12.0,8.0,DDR4,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,DOS,1
28,Asus Vivobook 15 2024 X1504VAP-NJ322WS Laptop (Intel Core 3 Processor 100U/ 8GB/ 512GB SSD/ Win11),Asus,49990,53.0,Intel,,,6.0,8.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
29,Lenovo V14 G3 82TSA0EMIH Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Pro),Lenovo,44990,51.0,Intel,Core i3,12.0,6.0,8.0,8.0,DDR4,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,Windows 11 Pro,1
30,HP Envy x360 ‎14-fc0100TU Laptop (Intel Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11),HP,133999,73.0,Intel,,,12.0,14.0,32.0,LPDDR5,1024,0,14.0,1920x1200,2304000.0,True,Integrated,0,False,Windows 11,1
31,HP 15s-fq5329TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),HP,47990,54.0,Intel,Core i5,12.0,10.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
32,HP Omen 14-fb0089TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),HP,175999,77.0,Intel,,,16.0,22.0,16.0,LPDDR5x,1024,0,14.0,2880x1800,5184000.0,False,RTX 4060,8,True,Windows 11,1
33,HP Envy x360 14-fc0105TU Laptop (Intel Core Ultra 5 125U/ 16GB/ 512GB SSD/ Win11),HP,96999,65.0,Intel,,,12.0,14.0,16.0,LPDDR5,512,0,14.0,1920x1200,2304000.0,True,Integrated,0,False,Windows 11,1
34,HP Victus 15-fa1099TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),HP,61990,64.0,Intel,Core i5,12.0,8.0,12.0,16.0,DDR4,512,0,16.1,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,1
35,Asus Vivobook Go 14 2023 E1404FA-NK331W Laptop (Ryzen 3 7320U / 8GB/ 1TB SSD/ Win11 Home),Asus,34990,53.0,AMD,Ryzen 3,7.0,4.0,8.0,8.0,LPDDR5,1024,0,14.0,1920x1080,2073600.0,False,Radeon Graphics,0,False,Windows 11,1
36,Samsung Galaxy Book 4 NP750XGK-KS3IN Laptop (Intel Core 7 Processor 150U/ 16GB/ 512GB SSD/ Win11),Samsung,85990,56.0,Intel,,,10.0,12.0,16.0,LPDDR4x,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
37,Dell 15 G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Dell,79990,68.0,Intel,Core i5,13.0,10.0,16.0,16.0,DDR5,1024,0,15.6,1920x1080,2073600.0,False,RTX 3050,6,True,Windows 11,1
38,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Asus,84990,74.0,AMD,Ryzen 9,6.0,8.0,16.0,16.0,LPDDR5,512,0,13.4,1920x1200,2304000.0,True,RTX 3050,0,True,Windows 11,1
39,Samsung Galaxy Book 4 Pro 360 Laptop (Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11),Samsung,199990,72.0,Intel,,,16.0,22.0,16.0,LPDDR5X,512,0,16.0,2880x1800,5184000.0,True,Integrated,0,False,Windows 11,1
40,Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),Lenovo,33600,62.0,AMD,Ryzen 3,7.0,4.0,8.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
41,Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),Other,27990,61.0,Intel,Core i3,12.0,6.0,8.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
42,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),Asus,79899,71.0,Intel,Core i7,11.0,8.0,16.0,16.0,DDR4,1024,0,15.6,1920x1080,2073600.0,False,RTX 3050 Ti,4,True,Windows 11,1
44,Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Lenovo,59990,64.0,Intel,Core i5,12.0,8.0,12.0,16.0,DDR5,512,0,15.6,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,1
45,Asus Vivobook 16X 2023 K3605ZU-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),Asus,86990,72.0,Intel,Core i7,12.0,10.0,16.0,16.0,DDR4,512,0,16.0,1920x1200,2304000.0,False,RTX 4050,6,True,Windows 11,1
46,HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS),HP,19979,,AMD,Athlon,3.0,2.0,2.0,4.0,DDR4,256,0,15.6,1366x768,1049088.0,False,Integrated,0,False,DOS,1
47,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),Asus,99990,74.0,Intel,Core i7,12.0,14.0,20.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 4060,8,True,Windows 11,1
48,HP Omen 16-n0123AX Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),HP,112990,73.0,AMD,Ryzen 7,6.0,8.0,16.0,16.0,DDR5,1024,0,16.1,2560x1440,3686400.0,False,RTX 3070 Ti,8,True,Windows 11,1
49,Dell Inspiron 5420 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Dell,69999,62.0,Intel,Core i5,12.0,12.0,16.0,16.0,DDR5,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
50,Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,59990,66.0,Intel,Core i5,11.0,6.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 3050,4,True,Windows 11,1
51,Samsung Galaxy Book2 Pro 360 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Samsung,72990,63.0,Intel,Core i5,12.0,12.0,16.0,16.0,LPDDR5,512,0,13.3,1080x1920,2073600.0,True,Iris Xe Graphics,0,False,Windows 11,1
52,Samsung Galaxy Book 4 NP750XGK-KS1IN Laptop (Intel Core 5 Processor 120U/ 8GB/ 512GB SSD/ Win11),Samsung,70990,53.0,Intel,,,10.0,12.0,8.0,LPDDR4x,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
53,Asus Vivobook 15 2024 X1504VAP-NJ542WS Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),Asus,67990,55.0,Intel,,,10.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
54,HP Pavilion 15-eh3109AU Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),HP,69990,64.0,AMD,Ryzen 7,7.0,8.0,16.0,16.0,DDR4,1024,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
55,Lenovo IdeaPad Slim 5 ‎16IMH9 83DC0042IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),Lenovo,75990,,Intel,,,14.0,18.0,16.0,DDR4,1024,0,16.0,1920x1200,2304000.0,False,Integrated,0,False,Windows 11,1
56,HP Envy x360 14-fa0052AU Laptop (AMD Ryzen 7 8840HS/ 16GB/ 512GB SSD/ Win11),HP,96990,69.0,AMD,Ryzen 7,8.0,8.0,16.0,16.0,LPDDR5,512,0,14.0,1920x1200,2304000.0,True,Radeon Graphics,0,False,Windows 11,1
57,Asus ROG Strix SCAR 16 2024 G634JYR-RA001WS Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),Asus,329990,,Intel,Core i9,14.0,24.0,32.0,32.0,DDR5,2048,0,16.0,2560x1600,4096000.0,False,RTX 4090,16,True,Windows 11,1
58,Lenovo ThinkBook 15 G5 20VG0008UK Laptop (AMD Ryzen 7 7730U/ 16GB/ 512 GB SSD/ Win11),Lenovo,49990,65.0,AMD,Ryzen 7,7.0,8.0,16.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
59,HP Spectre x360 14-ef2035TU Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home),HP,146990,72.0,Intel,Core i7,13.0,10.0,12.0,32.0,LPDDR4X,1024,0,13.5,3000x2000,6000000.0,True,Iris Xe Graphics,0,False,Windows 11,1
60,HP Omen 14-fb0007TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),HP,174999,77.0,Intel,,,16.0,22.0,16.0,LPDDR5x,1024,0,14.0,2880x1800,5184000.0,False,RTX 4060,8,True,Windows 11,1
61,Lenovo IdeaPad Slim 3 83EQ0044IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,55390,57.0,Intel,Core i5,12.0,8.0,12.0,16.0,LPDDR5,512,0,14.0,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
62,Honor MagicBook X16 2024 ‎Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Honor,46990,54.0,Intel,Core i5,12.0,8.0,12.0,16.0,LPDDR4x,512,0,16.0,1920x1200,2304000.0,False,UHD Graphics,0,False,Windows 11,1
63,HP Omen 16-xf0081AX Gaming Laptop (AMD Ryzen 7 7840HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),HP,135999,,AMD,Ryzen 7,7.0,8.0,16.0,32.0,DDR5,1024,0,16.0,1440x2560,3686400.0,False,RTX 4060,8,True,Windows 11,1
64,Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),Acer,34880,56.0,Intel,Core i3,12.0,6.0,8.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
65,HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),HP,138990,79.0,Intel,Core i7,14.0,20.0,28.0,16.0,DDR5,1024,0,16.1,1920x1080,2073600.0,False,RTX 4060,8,True,Windows 11,1
66,MSI Titan 18 HX Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ RTX 4090),MSI,599990,,Intel,Core i9,14.0,,,32.0,DDR5,2048,0,18.0,3840x2400,9216000.0,False,RTX 4090,16,True,Windows 11,2
67,Lenovo IdeaPad Slim 3 83ER008GIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,53490,57.0,Intel,Core i5,12.0,8.0,12.0,16.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
68,Samsung Galaxy Book 4 Ultra Laptop (Intel Core Ultra 7 155H/ 32 GB RAM/ 1 TB SSD/ 6 GB Graphics),Samsung,299999,75.0,Intel,,,16.0,22.0,32.0,DDR4,1024,0,16.0,2880x1800,5184000.0,True,RTX 4050,6,True,Unspecified,1
69,HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),HP,65690,68.0,Intel,Core i5,12.0,8.0,12.0,16.0,DDR4,1024,0,15.6,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,1
70,Colorful Evol P15 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),Other,89999,70.0,Intel,Core i7,12.0,10.0,16.0,16.0,DDR5,512,0,15.6,2560x1440,3686400.0,False,RTX 4060,8,True,Windows 11,1
71,Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS),Apple,399900,65.0,Apple,M3,,16.0,,48.0,DDR4,1024,0,16.2,3456x2234,7720704.0,False,M3 Max,0,False,Mac OS,1
72,Dell Inspiron 3530 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),Dell,69990,53.0,Intel,Core i7,13.0,10.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
73,Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Asus,39990,53.0,Intel,Core i3,12.0,10.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
74,HP Pavilion 15-eg3032TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),HP,84700,64.0,Intel,Core i7,13.0,12.0,16.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Iris Xe Graphics,0,False,Windows 11,1
75,Dell G15-5530 15 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Dell,99990,70.0,Intel,Core i7,13.0,14.0,,16.0,DDR5,1024,0,15.6,1920x1080,2073600.0,False,RTX 4050,6,True,Windows 11,1
76,HP 15s-fq5185TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,36349,55.0,Intel,Core i3,12.0,6.0,8.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
77,Zebronics Pro Series Y ZEB-NBC 2S Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),Other,27990,57.0,Intel,Core i5,11.0,4.0,8.0,16.0,LPDDR4X,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
78,Zebronics ZEB-NBC 5S 2023 Laptop (12th Gen Core i7 / 16GB/ 1TB SSD/ Win11 Home),Other,43990,66.0,Intel,Core i7,12.0,10.0,12.0,16.0,DDR4,1024,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
79,Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),Lenovo,44990,65.0,AMD,Ryzen 7,7.0,8.0,16.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
80,Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Lenovo,34990,54.0,Intel,Core i3,12.0,6.0,8.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
81,HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),HP,79990,72.0,AMD,Ryzen 7,7.0,8.0,16.0,16.0,DDR5,512,0,16.1,1920x1080,2073600.0,False,RTX 3050,6,True,Windows 11,1
82,Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,53990,66.0,Intel,Core i5,12.0,8.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,1
83,Asus TUF Gaming F15 FX506HE-HN382W Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,69990,66.0,Intel,Core i7,11.0,8.0,16.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 3050 Ti,4,True,Windows 11,1
84,Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,48990,62.0,Intel,Core i5,11.0,6.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,1
85,MSI Thin GF63 11UC-1490IN Gaming Laptop (11th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),MSI,52990,69.0,Intel,Core i5,11.0,6.0,12.0,16.0,DDR4,256,1024,15.6,1920x1080,2073600.0,False,RTX 3050,4,True,Windows 11,1
86,Lenovo LOQ 15APH8 82XT004HIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Lenovo,79990,70.0,AMD,Ryzen 7,7.0,8.0,16.0,16.0,DDR5,512,0,15.6,1920x1080,2073600.0,False,RTX 3050,6,True,Windows 11,1
87,Asus Vivobook Go 15 E510MA-EJ001W Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),Asus,19990,,Intel,Celeron,,2.0,2.0,4.0,DDR4,256,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
88,HP Omen 16-wd0880TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),HP,89990,64.0,Intel,Core i5,13.0,8.0,12.0,16.0,DDR5,512,0,16.1,1920x1080,2073600.0,False,RTX 4050,6,True,Windows 11,1
89,Infinix INBook Y1 Plus Neo 2023 XL30 Laptop (Intel Celeron N5100/ 4GB/ 128GB SSD/ Win 11 Home),Infinix,18990,,Intel,Celeron,11.0,4.0,4.0,4.0,LPDDR4X,128,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
90,Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Asus,59990,63.0,Intel,Core i7,12.0,10.0,16.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
91,Lenovo Ideapad Gaming 3 82SB00NXIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Lenovo,53490,65.0,AMD,Ryzen 5,7.0,6.0,12.0,16.0,DDR5,512,0,15.6,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,1
92,Dell Inspiron 3525 Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11),Dell,36890,59.0,AMD,Ryzen 5,5.0,6.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Radeon Graphics,0,False,Windows 11,1
93,Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),Infinix,74990,68.0,Intel,Core i9,13.0,14.0,20.0,32.0,LPDDR5X,1024,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
94,Acer Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,57990,64.0,Intel,Core i5,12.0,8.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,GTX 3050,4,True,Windows 11,1
95,Asus TUF Gaming A15 FA577NU-LP082W Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Asus,89990,73.0,AMD,Ryzen 7,7.0,8.0,16.0,16.0,DDR5,512,0,15.6,1920x1080,2073600.0,False,RTX 4050,6,True,Windows 11,1
