item_id,model_name,brand,price_inr,rating,num_ratings,color,type
152,boAt Bassheads 100 Wired Headset,boAt,399,3.6,113,Courageous Orange,In the Ear
153,boAt Rockerz 450 Pro with Upto 70 Hours Playback Blueto...,boAt,1999,4.0,1431,Aqua Blue,On the Ear
154,boAt Airdopes 381 with ASAP charge Bluetooth Headset,boAt,1799,3.9,13327,Army Green,True Wireless
155,boAt Airdopes 381 with ASAP charge Bluetooth Headset,boAt,1799,4.0,2834,Mint Green,True Wireless
156,boAt Airdopes 491 True Wireless Bluetooth Headset,boAt,2999,4.2,25388,Spirit Lime,True Wireless
157,boAt Bassheads 104 Wired Headset,boAt,399,4.1,5047,Admiral,In the Ear
158,boAt Airdopes 381 with ASAP charge Bluetooth Headset,boAt,1799,3.9,35280,Mint Green,True Wireless
159,boAt Bassheads 220 Wired Headset,boAt,549,3.7,6288,Molten Orange,In the Ear
160,boAt Rockerz 400 Bluetooth Headset,boAt,1299,3.4,176,Grey,On the Ear
161,boAt Rockerz 355 BBD Edition Bluetooth Headset,boAt,2499,3.5,524,Active Black,In the Ear
162,boAt Rockerz 400 Super Extra Bass Bluetooth Headset,boAt,1299,1.0,0,Black,On the Ear
163,boAt Immortal IM1300 Bluetooth Gaming Headset,boAt,3499,3.7,1602,White Sabre,On the Ear
164,boAt Rockerz 400 Bluetooth Headset,boAt,1499,4.3,310831,Carbon Black,On the Ear
165,boAt Rockerz 305v2 Bluetooth Headset,boAt,1599,4.3,7171,Active Black,In the Ear
166,Borneo HBS-730 Sports Headphone Wireless BT Earphone fo...,Borneo,247,3.7,54,Black,In the Ear
167,"Borneo Opp.o Premium Ultra HD Sound sports,|Gym|Running...",Borneo,241,3.7,19,Black,In the Ear
168,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,799,4.0,333036,Black,In the Ear
169,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,4.0,625672,Black,True Wireless
170,Boult Audio AirBass Combuds Bluetooth Headset,Boult,1299,3.9,43126,White,True Wireless
171,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.0,333036,Grey,In the Ear
172,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,799,4.0,333036,Black,In the Ear
173,Boult Audio Bassbuds X1 Wired Headset,Boult,349,3.9,35280,Black,In the Ear
174,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.7,6288,Black,True Wireless
